Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W10,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W13,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W20,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W9,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W16,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W18,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W6,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
Jul,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,4,16,16,0.00 🟢,0
W8,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 95 %,> 93 %,100 %,1.5,6,6,0.00 🟢,0
W19,JM TRANSP.,,SAFETY,Investigação de Acidente no Prazo,> 97 %,> 95 %,100 %,1.5,6,6,0.00 🟢,0
W8,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,83.68 %,6,24,0,-24.00 🔴,0
Mar,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,89.17 %,6,24,12,-12.00 🔴,0
W10,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,89.17 %,6,24,12,-12.00 🔴,0
Abr,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,51.68 %,6,24,0,-24.00 🔴,0
W25,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
Fev,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,83.68 %,6,24,0,-24.00 🔴,0
W11,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,89.17 %,6,24,12,-12.00 🔴,0
Mai,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W23,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W7,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,83.68 %,6,24,0,-24.00 🔴,0
W12,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,89.17 %,6,24,12,-12.00 🔴,0
W24,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W9,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,83.68 %,6,24,0,-24.00 🔴,0
W22,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W13,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,89.17 %,6,24,12,-12.00 🔴,0
Jun,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W27,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W21,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W18,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,60.91 %,6,24,0,-24.00 🔴,0
W14,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,67.75 %,6,24,0,-24.00 🔴,0
W16,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,51.68 %,6,24,0,-24.00 🔴,0
W26,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W17,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,51.68 %,6,24,0,-24.00 🔴,0
W15,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,51.68 %,6,24,0,-24.00 🔴,0
W20,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W19,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,84 %,6,24,0,-24.00 🔴,0
W6,JM TRANSP.,,SAFETY,Ad. Vec Fleet,> 90 %,> 88 %,83.68 %,6,24,0,-24.00 🔴,0
W11,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,169.66 %,7,28,28,0.00 🟢,0
Fev,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 85 %,> 83 %,87.13 %,7,28,28,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,88.17 %,7,28,14,-14.00 🔴,7
W23,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,89.77 %,7,28,14,-14.00 🔴,7
W15,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,90.91 %,7,28,28,0.00 🟢,0
W20,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,77.17 %,7,28,0,-28.00 🔴,14
Jun,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,84.96 %,7,28,0,-28.00 🔴,14
W21,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,78.01 %,7,28,0,-28.00 🔴,14
Abr,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,90.86 %,7,28,28,0.00 🟢,0
W10,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,168.1 %,7,28,28,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,78.4 %,7,28,0,-28.00 🔴,14
W7,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 85 %,> 83 %,83.99 %,7,28,14,-14.00 🔴,7
Mar,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,169.17 %,7,28,28,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,81.32 %,7,28,0,-28.00 🔴,14
W17,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,91.62 %,7,28,28,0.00 🟢,0
W19,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,79.12 %,7,28,0,-28.00 🔴,14
W16,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,90.36 %,7,28,28,0.00 🟢,0
W12,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,168.99 %,7,28,28,0.00 🟢,0
W18,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,87.81 %,7,28,14,-14.00 🔴,7
W6,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 85 %,> 83 %,91.28 %,7,28,28,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,87.47 %,7,28,14,-14.00 🔴,7
W24,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,84.01 %,7,28,0,-28.00 🔴,14
W9,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 85 %,> 83 %,,7,28,0,-28.00 🔴,14
W22,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,78.6 %,7,28,0,-28.00 🔴,14
W8,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 85 %,> 83 %,85.41 %,7,28,28,0.00 🟢,0
W14,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,129.29 %,7,28,28,0.00 🟢,0
W13,JM TRANSP.,,SAFETY,Telemetria Scorecard,> 90 %,> 85 %,169.68 %,7,28,28,0.00 🟢,0
Mar,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W29,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,7,28,28,0.00 🟢,0
W6,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 4.2,< 5.2,0,4,16,16,0.00 🟢,0
W8,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 4.2,< 5.2,0,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
Abr,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W9,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 4.2,< 5.2,0,4,16,16,0.00 🟢,0
W17,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W11,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W15,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W16,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W10,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W21,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W19,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
Mai,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W26,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
Jun,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W18,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W22,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W28,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,7,28,28,0.00 🟢,0
W7,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 4.2,< 5.2,0,4,16,16,0.00 🟢,0
Jul,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,7,28,28,0.00 🟢,0
W13,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W20,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W27,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
Fev,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 4.2,< 5.2,0,4,16,16,0.00 🟢,0
W14,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W12,JM TRANSP.,,SAFETY,Crash Rate (Graves),< 1.6,< 3.6,0,4,16,16,0.00 🟢,0
W8,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.63 %,2.5,10,5,-5.00 🔴,3
Mai,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.8 %,2.5,10,5,-5.00 🔴,3
W10,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.96 %,2.5,10,5,-5.00 🔴,3
W17,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.85 %,2.5,10,5,-5.00 🔴,3
W25,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.17 %,2.5,10,5,-5.00 🔴,3
W6,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.63 %,2.5,10,5,-5.00 🔴,3
W15,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.46 %,2.5,10,5,-5.00 🔴,3
W26,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.23 %,2.5,10,5,-5.00 🔴,3
Fev,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,95.87 %,2.5,10,5,-5.00 🔴,3
W29,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,96.68 %,5,20,10,-10.00 🔴,5
W22,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,97.31 %,2.5,10,10,0.00 🟢,0
W13,JM TRANSP.,,SAFETY,Aderência Treinamentos Safety Driver,> 97 %,> 95 %,97.22 %,2.5,10,10,0.00 🟢,0
