Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W24,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 92.6 %,> 90.6 %,88.76 %,6,24,0,-24.00 🔴,1
W25,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 92.6 %,> 90.6 %,57.51 %,6,24,0,-24.00 🔴,1
W21,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 94.2 %,> 92.2 %,89.5 %,6,24,0,-24.00 🔴,1
W21,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,93.38 %,3,12,6,-6.00 🔴,0
W24,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,96.88 %,3,12,12,0.00 🟢,0
W22,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,94.4 %,3,12,6,-6.00 🔴,0
W25,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,98.37 %,3,12,12,0.00 🟢,0
W23,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,98.46 %,3,12,12,0.00 🟢,0
W23,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,92.51 %,3,12,12,0.00 🟢,0
W22,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,95.33 %,3,12,12,0.00 🟢,0
W24,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,91.32 %,3,12,12,0.00 🟢,0
W21,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,90.57 %,3,12,12,0.00 🟢,0
W25,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,81.44 %,3,12,0,-12.00 🔴,0
W24,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,84.79 %,3,12,0,-12.00 🔴,0
W21,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,87.56 %,3,12,0,-12.00 🔴,0
W25,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,74.29 %,3,12,0,-12.00 🔴,0
W22,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,87.38 %,3,12,0,-12.00 🔴,0
W23,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,89.46 %,3,12,0,-12.00 🔴,0
W23,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,91.29 %,3,12,0,-12.00 🔴,0
W22,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,95.08 %,3,12,12,0.00 🟢,0
W21,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,149.33 %,3,12,12,0.00 🟢,0
W25,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,30 %,3,12,0,-12.00 🔴,0
W24,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,87.25 %,3,12,0,-12.00 🔴,0
W22,JM TRANSP.,,FM - XD,Pickup Success,> 92.9 %,> 90.9 %,94.57 %,7,28,28,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,65.91 %,7,28,0,-28.00 🔴,11
W21,JM TRANSP.,,FM - XD,Pickup Success,> 92.9 %,> 90.9 %,93.97 %,7,28,28,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,Pickup Success,> 92.6 %,> 90.6 %,92.19 %,7,28,14,-14.00 🔴,6
W23,JM TRANSP.,,FM - XD,Pickup Success,> 92.64 %,> 90.64 %,92.78 %,7,28,28,0.00 🟢,0
W22,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 83.9 %,> 81.9 %,86.01 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.7 %,> 80.7 %,84.35 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,59.3 %,4,16,0,-16.00 🔴,6
W24,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 82.5 %,> 80.5 %,83.76 %,4,16,16,0.00 🟢,0
W21,JM TRANSP.,,FM - XD,Pickup Sucess Ontime,> 83.9 %,> 81.9 %,86.47 %,4,16,16,0.00 🟢,0
W21,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,99.92 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,100 %,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,100 %,4,16,16,0.00 🟢,0
W22,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,99.9 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,Aderência ao Perfil,> 95 %,> 93 %,100 %,4,16,16,0.00 🟢,0
W22,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,93.11 %,4,16,16,0.00 🟢,0
W21,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,93.61 %,4,16,16,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,92.13 %,4,16,16,0.00 🟢,0
W24,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,92.51 %,4,16,16,0.00 🟢,0
W23,JM TRANSP.,,FM - XD,1º Bipe - XD,> 85 %,> 83 %,92.36 %,4,16,16,0.00 🟢,0
W22,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,86.97 %,3,12,0,-12.00 🔴,5
W23,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,86.76 %,3,12,0,-12.00 🔴,5
W25,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,67.95 %,3,12,0,-12.00 🔴,5
W24,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,82.28 %,3,12,0,-12.00 🔴,5
W21,JM TRANSP.,,FM - XD,Aceite de Scheduling,> 95 %,> 93 %,91.66 %,3,12,0,-12.00 🔴,5
W22,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,101.24 %,3,12,12,0.00 🟢,0
W21,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,82.94 %,3,12,0,-12.00 🔴,5
W23,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,107.85 %,3,12,12,0.00 🟢,0
W25,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,,3,12,0,-12.00 🔴,5
W24,JM TRANSP.,,FM - XD,Ad. Config XD,> 97 %,> 95 %,3012.14 %,3,12,12,0.00 🟢,0
W21,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 97.2 %,96.27 %,7,28,0,-28.00 🔴,1
W23,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 97.2 %,96.1 %,7,28,0,-28.00 🔴,1
W22,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 97.2 %,96.05 %,7,28,0,-28.00 🔴,1
W25,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 97.2 %,93.96 %,7,28,0,-28.00 🔴,1
W24,JM TRANSP.,,LM,Delivery Success,> 98.2 %,> 97.2 %,96.4 %,7,28,0,-28.00 🔴,1
W23,JM TRANSP.,,LM,PNR Anulado,> 0 %,,15.79 %,0,0,0,0.00 🟢,0
W22,JM TRANSP.,,LM,PNR Anulado,> 0 %,,6.57 %,0,0,0,0.00 🟢,0
