Período,1º Campo,2º Campo,Milha,KPI,Meta 4 Pontos,Meta 2 Pontos,Resultado Final,PESO,Pontuação Máxima,Pontuação Atingida,GAP Pontuação,GAP Peso Ponderado
W25,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 92.6 %,> 90.6 %,93.37 %,6,24,24,0.00 🟢,0
Mai,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 94.2 %,> 92.2 %,92.12 %,6,24,0,-24.00 🔴,1
W23,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 92.65 %,> 90.65 %,89.53 %,6,24,0,-24.00 🔴,1
W24,JM TRANSP.,,FM - FULL,Pickup Sucess (Ontime) FULL,> 92.6 %,> 90.6 %,88.75 %,6,24,0,-24.00 🔴,1
W25,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,97.87 %,3,12,12,0.00 🟢,0
W23,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,98.47 %,3,12,12,0.00 🟢,0
Mai,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,94.78 %,3,12,6,-6.00 🔴,0
W26,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,96.52 %,3,12,12,0.00 🟢,0
W24,JM TRANSP.,,FM - FULL,Aderência ao Perfil FULL,> 95 %,> 93 %,94.7 %,3,12,6,-6.00 🔴,0
W25,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,89.06 %,3,12,12,0.00 🟢,0
W23,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,92.51 %,3,12,12,0.00 🟢,0
Mai,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,93.45 %,3,12,12,0.00 🟢,0
W24,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,91.32 %,3,12,12,0.00 🟢,0
W26,JM TRANSP.,,FM - FULL,1º Bipe FULL,> 85 %,> 83 %,93.19 %,3,12,12,0.00 🟢,0
W23,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,89.46 %,3,12,0,-12.00 🔴,0
Mai,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,83.69 %,3,12,0,-12.00 🔴,0
W25,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,84.96 %,3,12,0,-12.00 🔴,0
W26,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,85.83 %,3,12,0,-12.00 🔴,0
W24,JM TRANSP.,,FM - FULL,% Utilização Frota Fixa FULL,> 95 %,> 93 %,84.79 %,3,12,0,-12.00 🔴,0
W25,JM TRANSP.,,FM - FULL,Ad. Config FULL,> 95 %,> 93 %,108.91 %,3,12,12,0.00 🟢,0
